date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,United Arab Emirates,monthly,1,,,,,,,,,,734.0,812.0,,,118.0,14177.0,1024491.0,1.379,56.48,836568.0,250000.0,,8.861,2.648,,9441138.0,734.0,734.0,734.0,
2021-01-17,United Arab Emirates,monthly,2,,,,,,,,,,750.0,794.25,,,139.0,20896.144,1054143.0,1.992,56.48,1076917.727,426168.091,,11.407,4.514,,9441138.0,750.0,750.0,750.0,
2021-01-24,United Arab Emirates,monthly,3,,,,,,,,,,766.0,776.5,,,160.0,24267.856,1076764.0,2.259,61.246,1497529.75,734462.25,,15.862,7.779,,9441138.0,766.0,766.0,766.0,
2021-01-31,United Arab Emirates,monthly,4,,,,,,,,,,782.0,758.75,,,181.0,25576.0,1183161.0,2.162,62.04,1918141.773,1042756.409,,20.317,11.045,,9441138.0,782.0,782.0,782.0,
2021-02-07,United Arab Emirates,monthly,5,,,,,,,,,835.0,798.0,741.0,,,228.5,23771.0,1170928.0,2.03,58.466,2338753.795,1351050.568,,24.772,14.31,,9441138.0,798.0,835.0,816.5,
2021-02-14,United Arab Emirates,monthly,6,,,,,,,,,816.75,794.0,722.25,,,276.0,22649.143,1165988.0,1.944,55.886,2759365.818,1659344.727,,29.227,17.576,,9441138.0,794.0,816.75,805.375,
2021-02-21,United Arab Emirates,monthly,7,,,,,,,,,798.5,790.0,703.5,,,323.5,22292.429,1259693.0,1.77,53.304,3179977.841,1967638.886,,33.682,20.841,,9441138.0,790.0,798.5,794.25,
2021-02-28,United Arab Emirates,monthly,8,,,,,,,,,780.25,786.0,684.75,,,371.0,20362.714,1250778.0,1.628,53.7,3533110.596,2244644.221,,37.423,23.775,,9441138.0,780.25,786.0,783.125,
2021-03-07,United Arab Emirates,monthly,9,,,,,,,,,762.0,782.0,666.0,,,352.0,20458.428,1459044.0,1.41,53.7,3737788.964,2452814.143,,39.59,25.98,,9441138.0,762.0,782.0,772.0,
2021-03-14,United Arab Emirates,monthly,10,,,,,,,,,766.5,777.5,663.0,,,333.0,17591.285,1585805.0,1.109,53.7,3937968.714,2658898.143,,41.711,28.163,,9441138.0,766.5,777.5,772.0,
2021-03-21,United Arab Emirates,monthly,11,,,,,,,,,771.0,773.0,660.0,,,314.0,14437.857,1579868.0,0.914,55.294,4138148.464,2864982.143,,43.831,30.346,,9441138.0,771.0,773.0,772.0,
2021-03-28,United Arab Emirates,monthly,12,,,,,,,,,775.5,768.5,657.0,,,295.0,14261.571,1560544.0,0.914,54.763,4338328.214,3071066.143,,45.951,32.529,,9441138.0,768.5,775.5,772.0,
2021-04-04,United Arab Emirates,monthly,13,,,,,,,,,780.0,764.0,654.0,,,276.0,14978.001,1589248.0,0.943,53.7,4538507.964,3277150.143,,48.072,34.711,,9441138.0,764.0,780.0,772.0,
2021-04-11,United Arab Emirates,monthly,14,,,,,,,,,761.0,759.2,651.0,,,229.5,14341.714,1685539.0,0.851,53.7,4738687.714,3483234.143,,50.192,36.894,,9441138.0,759.2,761.0,760.1,
2021-04-18,United Arab Emirates,monthly,15,,,,,,,,,742.0,754.4,754.25,,,183.0,13401.43,1640273.0,0.818,54.097,4938867.464,3689318.143,,52.312,39.077,,9441138.0,742.0,754.4,748.2,
2021-04-25,United Arab Emirates,monthly,16,,,,,,,,,723.0,749.6,857.5,,,136.5,13436.287,1385116.0,0.972,56.48,5140845.237,3902618.625,,54.452,41.336,,9441138.0,723.0,749.6,736.3,
2021-05-02,United Arab Emirates,monthly,17,,,,,,,,,704.0,744.8,960.75,,,90.0,13377.429,1356690.0,0.986,56.48,5346778.658,4131795.368,,56.633,43.764,,9441138.0,704.0,744.8,724.4,
2021-05-09,United Arab Emirates,monthly,18,,,,,,,,,685.0,740.0,1064.0,,,90.6,12648.428,1349400.0,0.937,56.48,5552831.947,4361453.211,,58.815,46.196,,9441138.0,685.0,740.0,712.5,
2021-05-16,United Arab Emirates,monthly,19,,,,,,,,,691.25,732.5,1197.5,,,91.2,11145.715,1313942.0,0.848,56.48,5758885.237,4591111.053,,60.998,48.629,,9441138.0,691.25,732.5,711.875,
2021-05-23,United Arab Emirates,monthly,20,,,,,,,,,697.5,725.0,1331.0,,,91.8,9557.858,1322443.0,0.727,56.48,5964938.526,4820768.895,,63.18,51.061,,9441138.0,697.5,725.0,711.25,
2021-05-30,United Arab Emirates,monthly,21,,,,,,,,,703.75,717.5,1464.5,,,92.4,11695.143,1564035.0,0.749,56.48,6170991.816,5050426.737,,65.363,53.494,,9441138.0,703.75,717.5,710.625,
2021-06-06,United Arab Emirates,monthly,22,,,,,,,,,710.0,710.0,1598.0,,,93.0,13694.571,1551304.0,0.883,54.097,6377045.105,5280084.579,,67.545,55.926,,9441138.0,710.0,710.0,710.0,
2021-06-13,United Arab Emirates,monthly,23,,,,,,,,,708.75,716.0,1490.6,,,102.5,14314.858,1606031.0,0.892,60.051,6583098.395,5509742.421,,69.728,58.359,,9441138.0,708.75,716.0,712.375,
2021-06-20,United Arab Emirates,monthly,24,,,,,,,,,707.5,722.0,1383.2,,,112.0,14730.572,1658761.0,0.889,57.81,6789151.684,5739400.263,,71.91,60.791,,9441138.0,707.5,722.0,714.75,
2021-06-27,United Arab Emirates,monthly,25,,,,,,,,,706.25,728.0,1275.8,,,121.5,14393.142,1815733.0,0.793,52.897,6995204.974,5969058.105,,74.093,63.224,,9441138.0,706.25,728.0,717.125,
2021-07-04,United Arab Emirates,monthly,26,,,,,,,,,705.0,734.0,1168.4,,,131.0,14047.287,1920644.0,0.732,55.806,7201258.263,6198715.947,,76.275,65.656,,9441138.0,705.0,734.0,719.5,
2021-07-11,United Arab Emirates,monthly,27,,,,,,,,,708.6,729.2,1061.0,,,132.75,11185.429,1918303.0,0.583,57.357,7410746.0,6424530.143,,78.494,68.048,,9441138.0,708.6,729.2,718.9,
2021-07-18,United Arab Emirates,monthly,28,,,,,,,,,712.2,724.4,991.25,,,134.5,10714.715,1939974.0,0.552,57.817,7599259.5,6654032.286,1893981.75,80.491,70.479,20.061,9441138.0,712.2,724.4,718.3,
2021-07-25,United Arab Emirates,monthly,29,,,,,,,,,715.8,719.6,921.5,,,136.25,10706.714,1714534.0,0.631,59.304,7690530.357,6778490.214,1990901.369,81.458,71.797,21.088,9441138.0,715.8,719.6,717.7,
2021-08-01,United Arab Emirates,monthly,30,,,,,,,,,719.4,714.8,851.75,,,138.0,10720.858,1729421.0,0.629,59.179,7753303.714,6911919.929,1995932.349,82.123,73.211,21.141,9441138.0,714.8,719.4,717.1,
