location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
United States,2020-01-05,1,weekly,,,,,,,55937.0,59890.0,66334.0,58461.0,60147.0,86994.0,,,,,,,,,,,55937.0,66334.0,60155.5,
United States,2020-01-12,2,weekly,,,,,,61882.0,55654.0,61108.0,67661.0,58506.0,60720.0,87332.0,,,,,,,,,,,55654.0,67661.0,60962.2,
United States,2020-01-19,3,weekly,,,,,,61261.0,55280.0,59444.0,64808.0,58373.0,59330.0,83568.0,,,,,,,,,,,55280.0,64808.0,59833.2,
United States,2020-01-26,4,weekly,,,,,,58738.0,55709.0,58174.0,62918.0,58031.0,59141.0,79082.0,0.0,,,0.0,,,332915074.0,,,,55709.0,62918.0,58714.0,59141.0
United States,2020-02-02,5,weekly,,,,,,57380.0,54995.0,58530.0,61120.0,58276.0,58801.0,76352.0,0.0,0.6903333333333332,,0.7942857142857143,,,332915074.0,,,,54995.0,61120.0,58060.2,58801.0
United States,2020-02-09,6,weekly,,,,,,57393.0,55222.0,59155.0,61242.0,58650.0,59441.0,71414.0,0.0,0.7139999999999999,,5.56,,,332915074.0,,,,55222.0,61242.0,58332.4,59441.0
United States,2020-02-16,7,weekly,,,,,,56535.0,55912.0,58596.0,59945.0,58114.0,58786.0,69469.0,0.0,0.26557142857142857,,5.56,,,332915074.0,,,,55912.0,59945.0,57820.4,58786.0
United States,2020-02-23,8,weekly,,,,,,56462.0,54975.0,58376.0,57933.0,58143.0,58885.0,66672.0,0.0,0.20428571428571426,,5.56,,,332915074.0,,,,54975.0,58376.0,57177.8,58885.0
United States,2020-03-01,9,weekly,,,,,,56028.0,55982.0,57354.0,56824.0,58082.0,59302.0,63616.0,1.0,0.7145714285714285,,5.9557142857142855,,,332915074.0,,,,55982.0,58082.0,56854.0,59301.0
United States,2020-03-08,10,weekly,,,,,,56221.0,56225.0,57590.0,57236.0,58665.0,59673.0,61775.0,20.0,29.387714285714285,1164.0,16.40142857142857,,,332915074.0,2.5247177221404025,,,56221.0,58665.0,57187.4,59653.0
United States,2020-03-15,11,weekly,,,,,,55374.0,54566.0,56772.0,56453.0,58020.0,58645.0,60262.0,49.0,223.24485714285714,4153.714285714285,28.504285714285714,,,332915074.0,5.374583849222727,,,54566.0,58020.0,56237.0,58596.0
United States,2020-03-22,12,weekly,,,,,,54387.0,54772.0,57157.0,55904.0,57214.0,59197.0,60690.0,533.0,2091.9184285714286,32987.28571428572,63.16142857142857,,,332915074.0,6.341590049846044,,,54387.0,57214.0,55886.8,58664.0
United States,2020-03-29,13,weekly,,,,,,53336.0,53980.0,55832.0,55038.0,56800.0,62994.0,58574.0,2970.0,10602.142714285714,91555.42857142857,72.69,,,332915074.0,11.580026307248692,,,53336.0,56800.0,54997.2,60024.0
United States,2020-04-05,14,weekly,,,,,,53121.0,54170.0,55262.0,55412.0,56710.0,72255.0,60875.0,9217.0,23778.102142857144,134834.7142857143,72.69,,,332915074.0,17.635000206602157,,,53121.0,56710.0,54935.0,63038.0
United States,2020-04-12,15,weekly,,,,,,52785.0,53603.0,54967.0,55347.0,55625.0,79055.0,59020.0,14889.0,31653.40814285714,160164.57142857142,72.69,,,332915074.0,19.763052378268068,,,52785.0,55625.0,54465.4,64166.0
United States,2020-04-19,16,weekly,,,,,,52942.0,53254.0,53171.0,54152.0,54616.0,76774.0,60137.0,15255.0,29316.816428571427,160920.0,72.69,,,332915074.0,18.218255299882816,,,52942.0,54616.0,53627.0,61519.0
United States,2020-04-26,17,weekly,,,,,,51702.0,51162.0,53391.0,53840.0,53767.0,73880.0,59698.0,14916.0,29104.918285714288,192791.57142857142,72.69,,,332915074.0,15.096571945572606,,,51162.0,53840.0,52772.4,58964.0
United States,2020-05-03,18,weekly,,,,,,51590.0,51373.0,52749.0,53877.0,54118.0,69274.0,58843.0,13157.0,28037.387857142858,250666.2857142857,72.69,,,332915074.0,11.18514513319929,,,51373.0,54118.0,52741.4,56117.0
United States,2020-05-10,19,weekly,,,,,,51758.0,51108.0,52074.0,52210.0,53611.0,66793.0,58296.0,12052.0,26219.857285714283,303291.5714285714,72.69,,,332915074.0,8.645099223236857,,,51108.0,53611.0,52152.2,54741.0
United States,2020-05-17,20,weekly,,,,,,50771.0,50554.0,52572.0,50737.0,53687.0,64448.0,58563.0,9832.0,22919.653,369540.4285714286,72.69,,,332915074.0,6.202204475597682,,,50554.0,53687.0,51664.2,54616.0
United States,2020-05-24,21,weekly,,,,,,49428.0,50586.0,51091.0,51052.0,53822.0,61595.0,57094.0,8274.0,22582.97957142857,406939.14285714284,72.69,,,332915074.0,5.549473420736129,,,49428.0,53822.0,51195.8,53321.0
United States,2020-05-31,22,weekly,,,,,,49816.0,49823.0,51366.0,51157.0,52856.0,59634.0,57204.0,6509.0,21102.244857142858,441668.14285714284,72.69,,,332915074.0,4.777850791010834,,,49816.0,52856.0,51003.6,53125.0
United States,2020-06-07,23,weekly,,,,,,49132.0,50026.0,51513.0,52119.0,53297.0,58874.0,56750.0,5741.0,20951.551142857144,500281.4285714286,72.69,,,332915074.0,4.187953009306191,,,49132.0,53297.0,51217.4,53133.0
United States,2020-06-14,24,weekly,,,,,,49845.0,49995.0,50915.0,51507.0,52789.0,57989.0,57038.0,5009.0,20556.245,531145.7142857143,72.69,,,332915074.0,3.8701705477646704,,,49845.0,52789.0,51010.2,52980.0
United States,2020-06-21,25,weekly,,,,,,49222.0,49718.0,51313.0,51218.0,52422.0,57963.0,56719.0,4150.0,24070.551142857144,589599.0,68.98,,,332915074.0,4.082529166918048,,,49222.0,52422.0,50778.6,53813.0
United States,2020-06-28,26,weekly,,,,,,49169.0,49844.0,50746.0,50997.0,52317.0,58485.0,57076.0,3863.0,33822.143,649009.8571428572,68.98,,,332915074.0,5.2113450401039465,,,49169.0,52317.0,50614.6,54622.0
United States,2020-07-05,27,weekly,,,,,,49334.0,49789.0,51085.0,51817.0,52498.0,59782.0,56481.0,3666.0,45556.224428571426,744429.5714285715,68.98,,,332915074.0,6.1196150955084105,,,49334.0,52498.0,50904.6,56116.0
United States,2020-07-12,28,weekly,,,,,,49019.0,49730.0,50124.0,51332.0,52070.0,61910.0,56415.0,5428.0,54284.795999999995,807157.0,68.98,,,332915074.0,6.725432103048106,,,49019.0,52070.0,50455.0,56482.0
United States,2020-07-19,29,weekly,,,,,,49344.0,49374.0,50222.0,50727.0,51800.0,63136.0,57696.0,5530.0,64371.245142857144,927131.1428571428,68.98,,,332915074.0,6.943057154189006,,,49344.0,51800.0,50293.4,57606.0
United States,2020-07-26,30,weekly,,,,,,48655.0,49809.0,49487.0,50409.0,51800.0,64214.0,59531.0,6533.0,66521.18357142857,966178.1428571428,67.13,,,332915074.0,6.884981207990777,,,48655.0,51800.0,50032.0,57681.0
United States,2020-08-02,31,weekly,,,,,,48673.0,49648.0,50204.0,50794.0,51554.0,64205.0,62428.0,7810.0,64046.714428571424,922719.4285714285,67.13,,,332915074.0,6.941082245090444,,,48673.0,51554.0,50174.6,56395.0
United States,2020-08-09,32,weekly,,,,,,48279.0,49829.0,50360.0,51124.0,51847.0,63674.0,65599.0,7353.0,56056.36728571429,870888.2857142857,67.13,,,332915074.0,6.436688632197865,,,48279.0,51847.0,50287.8,56321.0
