date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,United States,weekly,1,,,,,,,55937.0,59890.0,66334.0,58461.0,60167.0,87064.0,78903.0,23028.0,1668175.573,11789338.0,14.188,71.76,8843869.571,661820.429,2.2,2.656,0.199,0.0,332915074.0,55937.0,66334.0,60155.5,64036.0
2021-01-17,United States,weekly,2,,,,,,61882.0,55654.0,61108.0,67661.0,58506.0,60731.0,87411.0,84274.0,23475.0,1658663.285,12861591.0,12.888,71.76,14054896.286,2146861.143,6.143,4.222,0.645,0.0,332915074.0,55654.0,67661.0,60962.2,63936.0
2021-01-24,United States,weekly,3,,,,,,61261.0,55280.0,59444.0,64808.0,58373.0,59358.0,83667.0,84824.0,21821.0,1317296.43,12020843.0,10.952,71.76,20162481.857,3625961.286,19.0,6.056,1.089,0.0,332915074.0,55280.0,64808.0,59833.2,61846.0
2021-01-31,United States,weekly,4,,,,,,58738.0,55709.0,58174.0,62918.0,58031.0,59157.0,79194.0,84551.0,21721.0,1110241.714,11554499.0,9.604,71.76,27088434.286,6298388.286,49.0,8.137,1.892,0.0,332915074.0,55709.0,62918.0,58714.0,57473.0
2021-02-07,United States,weekly,5,,,,,,57380.0,54995.0,58530.0,61120.0,58276.0,58829.0,76501.0,80647.0,20472.0,923836.571,10773988.0,8.567,69.117,33937671.571,10233380.571,98.0,10.194,3.074,0.0,332915074.0,54995.0,61120.0,58060.2,56029.0
2021-02-14,United States,weekly,6,,,,,,57393.0,55222.0,59155.0,61242.0,58650.0,59476.0,71504.0,76449.0,17093.0,713303.571,9847465.0,7.24,68.06,40871254.286,15490832.143,165.0,12.277,4.653,0.0,332915074.0,55222.0,61242.0,58332.4,54411.0
2021-02-21,United States,weekly,7,,,,,,56535.0,55912.0,58596.0,59945.0,58114.0,58810.0,69510.0,70345.0,13257.0,525505.571,8233377.0,6.372,68.06,46618909.143,20846785.571,235.143,14.003,6.262,0.0,332915074.0,55912.0,59945.0,57820.4,56253.0
2021-02-28,United States,weekly,8,,,,,,56462.0,54975.0,58376.0,57933.0,58143.0,58907.0,66730.0,65571.0,13742.0,478881.857,8971456.0,5.342,68.06,52715769.714,27268126.571,404.857,15.835,8.191,0.0,332915074.0,54975.0,58376.0,57177.8,52988.0
2021-03-07,United States,weekly,9,,,,,,56028.0,55982.0,57354.0,56824.0,58082.0,59330.0,63685.0,63875.0,11645.0,443768.715,9119617.0,4.865,65.94,62253515.429,33990339.0,649.143,18.7,10.21,0.0,332915074.0,55982.0,58082.0,56854.0,52040.0
2021-03-14,United States,weekly,10,,,,,,56221.0,56225.0,57590.0,57236.0,58665.0,59692.0,61856.0,61218.0,8547.0,392013.0,8822218.0,4.443,64.35,73712921.143,41170489.571,817.714,22.142,12.367,0.0,332915074.0,56221.0,58665.0,57187.4,53309.0
2021-03-21,United States,weekly,11,,,,,,55374.0,54566.0,56772.0,56453.0,58020.0,58667.0,60366.0,59803.0,7374.0,384591.999,8566272.0,4.49,64.35,85753586.286,48388748.286,1069.143,25.758,14.535,0.0,332915074.0,54566.0,58020.0,56237.0,52992.0
