date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Uruguay,monthly,1,,,,,,,2637.5,2597.8,2621.0,2508.0,2623.0,2929.25,3187.6,141.75,4595.142,42230.0,10.881,70.37,,,,,,,3422796.0,2508.0,2637.5,2591.075,2787.5
2021-01-17,Uruguay,monthly,2,,,,,,,2617.0,2589.6,2597.0,2561.0,2603.75,2999.5,3332.2,179.5,6045.715,49894.0,12.102,64.81,,,,,,,3422796.0,2561.0,2617.0,2591.15,2820.0
2021-01-24,Uruguay,monthly,3,,,,,,,2596.5,2581.4,2573.0,2614.0,2584.5,3069.75,3476.8,217.25,5451.571,49566.0,10.996,64.81,,,,,,,3422796.0,2573.0,2614.0,2591.225,2852.5
2021-01-31,Uruguay,monthly,4,,,,,,,2576.0,2573.2,2549.0,2667.0,2565.25,3140.0,3621.4,255.0,4717.0,48275.0,9.759,64.81,,,,,,,3422796.0,2549.0,2667.0,2591.3,2885.0
2021-02-07,Uruguay,monthly,5,,,,,,2514.0,2541.4,2565.0,2525.0,2720.0,2546.0,2824.25,3766.0,234.25,3836.571,44249.0,8.672,64.81,,,,,,,3422796.0,2514.0,2720.0,2573.08,2590.0
2021-02-14,Uruguay,monthly,6,,,,,,2440.25,2506.8,2490.0,2451.5,2619.5,2516.25,2508.5,3737.0,213.5,3541.571,41605.0,8.515,64.81,,,,,,,3422796.0,2440.25,2619.5,2501.61,2295.0
2021-02-21,Uruguay,monthly,7,,,,,,2366.5,2472.2,2415.0,2378.0,2519.0,2486.5,2192.75,3708.0,192.75,3624.143,38956.0,9.301,65.34,,,,,,,3422796.0,2366.5,2519.0,2430.14,2000.0
2021-02-28,Uruguay,monthly,8,,,,,,2292.75,2437.6,2340.0,2304.5,2418.5,2456.75,1877.0,3679.0,172.0,4764.285,44856.0,10.597,68.52,392.0,,,0.011,,,3422796.0,2292.75,2437.6,2358.67,1705.0
2021-03-07,Uruguay,monthly,9,,,,,,2219.0,2403.0,2265.0,2231.0,2318.0,2427.0,2124.6,3650.0,210.8,5400.713,46735.0,11.555,68.52,55434.143,,1.857,1.62,,0.0,3422796.0,2219.0,2403.0,2287.2,1913.8
2021-03-14,Uruguay,monthly,10,,,,,,2270.0,2441.75,2354.75,2302.75,2398.75,2461.8,2372.2,3494.0,249.6,6824.428,57294.0,12.037,68.52,163221.286,,4.429,4.769,,0.0,3422796.0,2270.0,2441.75,2353.6,2122.6
